id,title,link,brand,google_product_category,price,availability,image_link,image_alt_text,gender,description,condition
small-indigo-elephants-handmade-paper-hand-block-printed-notebook-a4,Small Indigo Elephants Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/small-indigo-elephants-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_63681482-f971-487f-abb6-4565f9fd023a.jpg?v=1583317697,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftDabu Hand Block PrintingPaperHand Made PaperColorIndigoPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
indigo-checks-handmade-paper-hand-block-printed-notebook-a4,Indigo Checks Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/indigo-checks-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_85973012-5b00-4835-92df-fce884bdfeed.jpg?v=1583317676,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftDabu Hand Block PrintingPaperHand Made PaperColorIndigoPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
geometric-small-triangles-doodle-handmade-paper-hand-block-printed-notebook-a4,Geometric Small Triangles Doodle Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/geometric-small-triangles-doodle-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_ca5a3f2f-adce-4601-b6bc-cb24c5ce37d5.jpg?v=1583317664,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorMulticolorPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
big-flowers-handmade-paper-hand-block-printed-notebook-a4,Big Flowers Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/big-flowers-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_1758d0be-a3cc-4281-9624-6ef2f1c70dbb.jpg?v=1583317647,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorMulticolorPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
blue-seaweed-handmade-paper-hand-block-printed-notebook-a4,Blue Seaweed Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/blue-seaweed-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_e8284f72-d4af-4ee0-af6e-4161f5ae72d2.jpg?v=1583317629,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorBluePages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
grid-paisley-handmade-paper-hand-block-printed-notebook-a4,Grid Paisley Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/grid-paisley-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_e3cac5c4-67d1-4b6e-8eb4-1c67590dc1df.jpg?v=1583317610,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorMulticolorPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
dabu-flip-flops-handmade-paper-hand-block-printed-notebook-a4,Dabu Flip Flops  Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/dabu-flip-flops-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_2f46ec97-3ad2-4c47-b02a-3852ef0a3c6c.jpg?v=1583317593,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftDabu Hand Block PrintingPaperHand Made PaperColorGreyPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
green-water-flowers-handmade-paper-hand-block-printed-notebook-a4,Green Water Flowers Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/green-water-flowers-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1_fd46cef9-4037-40b4-96bf-61f2ee640b03.jpg?v=1583317581,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftHand Block PrintingPaperHand Made PaperColorMulticolorPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
dabu-doodle-handmade-paper-hand-block-printed-notebook-a4,Dabu Doodle Handmade Paper & Hand Block Printed NoteBook A4,https://itminan.in/products/dabu-doodle-handmade-paper-hand-block-printed-notebook-a4,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,895,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/dabu-doodle-artbook-a4-hand-block-printed-notebook-with-handmade-paper-itminan-1.jpg?v=1583317555,dabu doodle artbook a4 hand block printed notebook with handmade paper itminan 1,unisex,"FabricPure CottonDimensions ( W x L )A4CraftDabu Hand Block PrintingPaperHand Made PaperColorGreyPages72 This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
orange-flower-jaal-kota-doria-dupatta,Orange Flower Jaal Kota Doria Dupatta,https://itminan.in/products/orange-flower-jaal-kota-doria-dupatta,itminan,Apparel & Accessories > Clothing Accessories > Scarves & Shawls,2300,in stock,https://cdn.shopify.com/s/files/1/0311/0387/7259/products/kota-doria---booti---yellow_47ac4dbb-f7f0-4905-8189-7c8f776558ce.jpg?v=1582971397,kota doria   booti   yellow,unisex,"FabricKota DoriaDimensions ( W x L )76 X 250 cmCraftHand Block PrintingDyesAZO Free Dyes / Non - Toxic DyesColorOrange This product is handcrafted by skilled artisans for you and may have slight irregularities that are a natural outcome of the human involvement in the process.Because each piece is made by hand , no two are exactly alike.The colors seen in the image may vary from the actual product due to different computer screen resolutions and displays.",new
